Server,Scan_ParsedFaction,Row,Column
1668,1668,17,18
515,1668,17,17
1473,1668,17,19
3495,1668,16,18
4021,1668,18,18
3491,1668,17,16
3529,1668,17,20
386,1668,16,17
2058,1668,18,19
2343,1668,18,17
5050,5050,16,19
1857,1668,19,18
2622,1668,15,18
1379,1668,17,21
2009,1668,17,15
564,1668,16,20
1275,1668,18,16
2841,1668,18,20
3455,1668,16,16
1035,1668,15,19
1530,1668,19,19
1946,1668,19,17
6002,1668,15,17
2494,1668,20,18
2655,1668,14,18
1395,2683,17,14
2491,2491,17,22
2333,2333,18,21
2632,2632,18,15
4015,1668,16,21
5007,1668,16,15
1113,1113,19,16
1503,188,15,20
1685,111,19,20
4012,1668,15,16
73,188,14,17
1015,2253,20,17
4007,1668,14,19
5012,1668,20,19
2747,188,13,18
3470,3470,21,18
824,1455,17,23
4017,2683,17,13
295,295,18,14
1003,188,16,22
1455,1455,18,22
3527,2683,16,14
111,111,19,21
2083,2083,19,15
2683,2683,15,15
3353,188,15,21
188,188,14,20
2014,2610,14,16
2827,2253,20,16
3256,111,20,20
1632,188,13,19
1643,2610,13,17
2253,2253,21,17
3325,111,21,19
1334,1334,22,18
2038,2610,12,18
1387,3532,17,12
1617,2580,17,24
536,2580,18,23
1545,2683,16,13
1753,3532,18,13
5008,188,16,23
542,111,19,22
940,940,19,14
1237,188,15,22
3467,2683,15,14
262,111,20,21
1812,188,14,21
2365,2683,14,15
4027,2253,20,15
594,188,13,20
1607,2610,13,16
3398,2253,21,16
4031,111,21,20
584,1334,22,17
957,957,22,19
2610,2610,12,17
5002,188,12,19
277,2610,11,18
3278,1334,23,18
3224,2580,17,25
3603,3532,17,11
500,2683,16,12
1174,2580,18,24
2137,2137,16,24
3532,3532,18,12
6,0,15,13
310,2693,15,23
2577,3532,19,13
4025,2580,19,23
549,2683,14,14
1822,188,14,22
1882,1882,20,14
2620,2620,20,22
1026,2253,21,15
1669,111,21,21
2222,2610,13,15
2955,188,13,21
1211,188,12,20
1439,2253,22,16
3321,111,22,20
3452,2610,12,16
1366,2610,11,17
1923,188,11,19
2830,1334,23,19
4036,1334,23,17
1374,2610,10,18
2097,2641,24,18
2557,1281,17,10
4018,2580,17,26
496,496,16,11
944,2580,16,25
1550,2580,18,25
2252,1281,18,11
2125,2693,15,24
2700,2580,19,24
2734,2683,15,12
3038,1281,19,12
904,188,14,23
2107,2107,20,23
2475,2205,20,13
3492,2683,14,13
278,111,21,22
2081,2683,13,14
2543,188,13,22
2545,2205,21,14
315,2610,12,15
1491,188,12,21
3197,891,22,15
3385,111,22,21
1653,1653,23,20
2386,1334,23,16
4103,188,11,20
4107,2610,11,16
946,2986,10,19
1606,1334,24,17
1782,2610,10,17
2374,1334,24,19
2635,2641,25,18
3440,2986,9,18
942,942,17,9
1537,2580,17,27
1855,1281,18,10
2153,2153,16,10
2580,2580,18,26
3476,2580,16,26
811,2580,19,25
2256,1281,19,11
2531,2693,15,25
2915,2683,15,11
1459,2205,20,12
1698,2683,14,12
2864,2580,20,24
4008,2693,14,24
740,2693,13,23
1041,2205,21,13
1804,524,13,13
2559,2559,21,23
3322,2205,22,14
4002,2610,12,14
4003,188,12,22
4034,111,22,22
693,593,23,21
760,188,11,21
1610,1334,23,15
2251,2610,11,15
1324,188,10,20
2733,19,10,16
3016,1334,24,16
5017,1334,24,20
1733,619,9,17
2633,2641,25,17
2986,2986,9,19
3536,2641,25,19
1265,2641,26,18
1970,619,8,18
1771,2275,17,8
2899,2580,17,28
879,2580,18,27
2514,2580,16,27
3480,1281,18,9
4014,1337,16,9
200,2580,19,26
1681,1568,15,10
2938,2580,15,26
4024,1281,19,10
2312,2693,14,25
4006,2683,14,11
5011,1281,20,11
5013,148,20,25
