Server,Scan_ParsedFaction,Row,Column
1668,1668,17,18
515,1668,17,17
1473,1668,17,19
3495,1668,16,18
4021,1668,18,18
3491,1668,17,16
3529,1668,17,20
386,1668,16,17
2058,1668,18,19
2343,1668,18,17
5050,5050,16,19
1857,1668,19,18
2622,1668,15,18
1379,1668,17,21
2009,1668,17,15
564,1668,16,20
1275,1668,18,16
2841,1668,18,20
3455,1668,16,16
1035,1668,15,19
1530,1668,19,19
1946,1668,19,17
6002,1668,15,17
2494,1668,20,18
2655,1668,14,18
1395,1668,17,14
2491,1668,17,22
2333,1668,18,21
2632,1668,18,15
4015,1668,16,21
5007,1668,16,15
1113,1668,19,16
1503,1668,15,20
1685,1668,19,20
4012,1668,15,16
73,1668,14,17
1015,1668,20,17
4007,1668,14,19
5012,1668,20,19
2747,1668,13,18
3470,1668,21,18
824,2580,17,23
4017,4017,17,13
295,3532,18,14
1003,1668,16,22
1455,2580,18,22
3527,1668,16,14
111,111,19,21
2083,2083,19,15
2683,1668,15,15
3353,1668,15,21
188,1668,14,20
2014,1668,14,16
2827,2827,20,16
3256,1668,20,20
1632,1668,13,19
1643,2610,13,17
2253,1334,21,17
3325,1668,21,19
1334,1334,22,18
2038,2610,12,18
1387,3532,17,12
1617,2580,17,24
536,2580,18,23
1545,1545,16,13
1753,3532,18,13
5008,5008,16,23
542,2580,19,22
940,3532,19,14
1237,1237,15,22
3467,3467,15,14
262,111,20,21
1812,1812,14,21
2365,2610,14,15
4027,4027,20,15
594,594,13,20
1607,2610,13,16
3398,3398,21,16
4031,111,21,20
584,1334,22,17
957,1334,22,19
2610,2610,12,17
5002,5002,12,19
277,2610,11,18
3278,1334,23,18
3224,2580,17,25
3603,3532,17,11
500,500,16,12
1174,2580,18,24
2137,2580,16,24
3532,3532,18,12
6,0,15,13
310,2693,15,23
2577,3532,19,13
4025,2580,19,23
549,549,14,14
1822,1822,14,22
1882,1882,20,14
2620,111,20,22
1026,891,21,15
1669,111,21,21
2222,2610,13,15
2955,2955,13,21
1211,1211,12,20
1439,1334,22,16
3321,111,22,20
3452,2610,12,16
1366,2610,11,17
1923,2610,11,19
2830,1334,23,19
4036,1334,23,17
1374,2610,10,18
2097,2097,24,18
2557,2557,17,10
4018,2580,17,26
496,3532,16,11
944,2580,16,25
1550,2580,18,25
2252,2252,18,11
2125,2693,15,24
2700,2580,19,24
2734,2734,15,12
3038,3532,19,12
904,904,14,23
2107,2580,20,23
2475,2475,20,13
3492,524,14,13
278,111,21,22
2081,2610,13,14
2543,2543,13,22
2545,2545,21,14
315,2610,12,15
1491,1491,12,21
3197,1334,22,15
3385,111,22,21
1653,111,23,20
2386,1334,23,16
4103,4103,11,20
4107,2610,11,16
946,2610,10,19
1606,1334,24,17
1782,2610,10,17
2374,1334,24,19
2635,2635,25,18
3440,2610,9,18
942,942,17,9
1537,2580,17,27
1855,1855,18,10
2153,2153,16,10
2580,2580,18,26
3476,2580,16,26
811,2580,19,25
2256,2256,19,11
2531,2580,15,25
2915,2915,15,11
1459,1459,20,12
1698,524,14,12
2864,2580,20,24
4008,2693,14,24
740,2693,13,23
1041,1041,21,13
1804,524,13,13
2559,111,21,23
3322,3322,22,14
4002,2610,12,14
4003,4003,12,22
4034,111,22,22
693,111,23,21
760,760,11,21
1610,1334,23,15
2251,2610,11,15
1324,1324,10,20
2733,2610,10,16
3016,1334,24,16
5017,1334,24,20
1733,2610,9,17
2633,2633,25,17
2986,2986,9,19
3536,3536,25,19
1265,1265,26,18
1970,1313,8,18
1771,1771,17,8
2899,1756,17,28
879,1756,18,27
2514,2580,16,27
3480,3480,18,9
4014,4014,16,9
200,1756,19,26
1681,1568,15,10
2938,2580,15,26
4024,4024,19,10
2312,2693,14,25
